generation,individual_id,fitness,wins,draws,losses,depth,search_mode,lmr_min_ply,lmr_full_depth_moves,pawn,knight,bishop,rook,queen,doubled_pawn_penalty,isolated_pawn_penalty,passed_pawn_bonus,protected_pawn_bonus,mobility_bonus,bishop_pair_bonus,king_shield_bonus,undeveloped_minor_penalty
26,798,2.0213,0,2,0,4,instinct,,,123,310,286,487,901,0,21,8,42,6,62,21,21
26,851,1.9513,0,2,0,4,instinct,,,130,289,270,452,968,0,36,0,27,2,48,22,9
26,794,2.0487,0,2,0,4,instinct,,,121,317,300,559,1000,0,26,0,28,0,53,28,33
26,858,1.99351,0,2,0,4,instinct,,,128,321,293,521,901,65,22,8,28,3,52,33,33
26,822,2.00649,0,2,0,4,instinct,,,121,313,292,559,901,73,26,0,41,0,52,26,33
26,855,2.01922,0,2,0,4,instinct,,,122,321,272,521,901,64,24,3,28,3,53,26,33
26,730,1.98078,0,2,0,4,instinct,,,121,313,292,559,972,72,26,0,28,0,52,26,33
26,725,1.98077,0,2,0,4,instinct,,,121,304,284,480,934,33,34,13,42,5,56,13,20
26,825,2.01923,0,2,0,4,instinct,,,123,314,286,559,968,0,32,0,32,6,44,16,15
27,888,2.01847,0,2,0,4,instinct,,,129,321,292,521,901,65,26,0,28,3,52,30,28
27,822,1.98153,0,2,0,4,instinct,,,121,313,292,559,901,73,26,0,41,0,52,26,33
27,883,2.00544,0,2,0,4,instinct,,,123,310,267,487,883,0,14,10,42,6,62,21,21
27,881,1.99456,0,2,0,4,instinct,,,121,321,300,518,1000,0,19,0,28,5,53,25,33
27,880,1.96325,0,2,0,4,instinct,,,123,323,303,521,948,78,26,0,21,0,46,18,24
27,887,2.03675,0,2,0,4,instinct,,,123,310,286,487,901,0,21,8,42,6,53,21,33
27,825,2.00706,0,2,0,4,instinct,,,123,314,286,559,968,0,32,0,32,6,44,16,15
27,892,1.99294,0,2,0,4,instinct,,,130,310,286,521,898,65,26,0,42,6,62,14,21
27,853,1.99837,0,2,0,4,instinct,,,124,336,292,494,910,37,30,3,34,12,52,23,39
27,818,2.00163,0,2,0,4,instinct,,,129,321,292,521,901,65,26,0,28,3,52,28,33
27,732,1.98946,0,2,0,4,instinct,,,123,309,286,462,968,0,21,0,35,6,52,22,15
27,889,2.01054,0,2,0,4,instinct,,,121,314,283,565,1000,0,26,0,27,7,53,16,15
27,886,1.98912,0,2,0,4,instinct,,,123,298,286,438,901,33,26,0,28,1,45,18,33
27,855,2.01088,0,2,0,4,instinct,,,122,321,272,521,901,64,24,3,28,3,53,26,33
27,850,2.02296,0,2,0,4,instinct,,,129,321,284,500,901,33,26,0,36,1,57,13,39
27,895,1.97704,0,2,0,4,instinct,,,120,318,272,514,925,64,30,9,31,2,57,24,35
27,848,2.00219,0,2,0,4,instinct,,,122,282,291,476,941,71,36,9,35,0,48,30,28
27,885,1.99781,0,2,0,4,instinct,,,123,330,276,521,948,76,31,10,34,13,52,17,39
27,852,1.99618,0,2,0,4,instinct,,,131,348,264,539,928,33,23,0,42,0,50,27,27
27,856,2.00382,0,2,0,4,instinct,,,130,321,291,521,948,65,26,0,20,3,52,35,28
27,891,2.0209,0,2,0,4,instinct,,,123,298,266,447,971,65,21,0,32,4,45,24,35
27,859,1.9791,0,2,0,4,instinct,,,123,298,286,447,932,65,26,0,28,6,45,18,35
27,882,1.98392,0,2,0,4,instinct,,,122,306,283,542,901,70,24,3,24,4,53,23,33
27,894,2.01608,0,2,0,4,instinct,,,124,336,292,494,948,65,30,3,20,12,52,35,28
27,794,2.00489,0,2,0,4,instinct,,,121,317,300,559,1000,0,26,0,28,0,53,28,33
27,798,1.99511,0,2,0,4,instinct,,,123,310,286,487,901,0,21,8,42,6,62,21,21
27,816,2.00851,0,2,0,4,instinct,,,123,313,276,521,948,78,26,10,21,0,52,26,32
27,890,1.99149,0,2,0,4,instinct,,,122,296,284,471,901,71,26,9,37,4,49,13,28
27,789,1.97924,0,2,0,4,instinct,,,129,313,284,521,972,73,26,0,28,4,52,30,33
27,820,2.02076,0,2,0,4,instinct,,,131,339,276,521,948,33,23,0,42,0,50,27,27
27,893,2.00581,0,2,0,4,instinct,,,129,321,292,519,901,33,25,0,36,5,52,18,39
27,884,1.99419,0,2,0,4,instinct,,,122,348,261,521,933,33,24,7,47,1,46,33,27
28,916,2.00323,0,2,0,4,instinct,,,120,321,272,494,901,59,30,3,28,12,53,35,33
28,850,1.99677,0,2,0,4,instinct,,,129,321,284,500,901,33,26,0,36,1,57,13,39
28,923,2.00424,0,2,0,4,instinct,,,122,328,275,487,983,60,30,1,20,12,52,35,26
28,818,1.99576,0,2,0,4,instinct,,,129,321,292,521,901,65,26,0,28,3,52,28,33
28,855,2.00926,0,2,0,4,instinct,,,122,321,272,521,901,64,24,3,28,3,53,26,33
28,926,1.99074,0,2,0,4,instinct,,,123,339,296,521,948,33,20,5,21,0,44,27,27
28,917,1.97319,0,2,0,4,instinct,,,123,310,286,487,948,27,21,0,49,6,44,27,27
28,856,2.02681,0,2,0,4,instinct,,,130,321,291,521,948,65,26,0,20,3,52,35,28
28,925,2.01142,0,2,0,4,instinct,,,123,298,272,447,901,64,24,0,32,4,45,26,35
28,891,1.98858,0,2,0,4,instinct,,,123,298,266,447,971,65,21,0,32,4,45,24,35
28,820,1.98704,0,2,0,4,instinct,,,131,339,276,521,948,33,23,0,42,0,50,27,27
28,888,2.01296,0,2,0,4,instinct,,,129,321,292,521,901,65,26,0,28,3,52,30,28
28,924,2.02016,0,2,0,4,instinct,,,123,312,302,559,949,65,32,0,32,6,45,35,23
28,920,1.97984,0,2,0,4,instinct,,,121,314,283,565,1000,0,26,0,27,7,53,16,15
28,794,2.03597,0,2,0,4,instinct,,,121,317,300,559,1000,0,26,0,28,0,53,28,33
28,912,1.96403,0,2,0,4,instinct,,,123,286,276,447,948,80,20,2,32,0,58,26,38
28,921,2.00424,0,2,0,4,instinct,,,129,317,272,521,864,29,25,0,36,3,53,18,40
28,883,1.99576,0,2,0,4,instinct,,,123,310,267,487,883,0,14,10,42,6,62,21,21
28,913,2.0098,0,2,0,4,instinct,,,129,323,272,537,901,33,24,3,28,1,60,18,41
28,918,1.9902,0,2,0,4,instinct,,,122,303,292,525,901,62,19,3,28,3,53,27,24
28,893,2.00532,0,2,0,4,instinct,,,129,321,292,519,901,33,25,0,36,5,52,18,39
28,914,1.99468,0,2,0,4,instinct,,,121,329,283,565,901,0,26,0,28,7,53,30,15
28,887,1.99836,0,2,0,4,instinct,,,123,310,286,487,901,0,21,8,42,6,53,21,33
28,848,2.00164,0,2,0,4,instinct,,,122,282,291,476,941,71,36,9,35,0,48,30,28
28,922,1.98251,0,2,0,4,instinct,,,124,336,301,494,901,0,30,8,20,7,54,21,28
28,927,2.01749,0,2,0,4,instinct,,,131,321,294,542,901,29,23,6,37,0,50,30,28
28,825,1.98396,0,2,0,4,instinct,,,123,314,286,559,968,0,32,0,32,6,44,16,15
28,919,2.01604,0,2,0,4,instinct,,,135,313,276,521,948,78,34,0,21,1,57,13,39
28,915,2.01967,0,2,0,4,instinct,,,129,339,276,521,948,65,26,1,27,5,52,22,27
28,816,1.98033,0,2,0,4,instinct,,,123,313,276,521,948,78,26,10,21,0,52,26,32
28,894,2.00041,0,2,0,4,instinct,,,124,336,292,494,948,65,30,3,20,12,52,35,28
28,889,1.99959,0,2,0,4,instinct,,,121,314,283,565,1000,0,26,0,27,7,53,16,15
29,953,1.96299,0,2,0,4,instinct,,,129,313,275,521,961,32,34,0,21,1,58,18,39
29,957,2.03701,0,2,0,4,instinct,,,128,305,291,521,977,65,36,0,35,6,52,30,33
29,947,2.02929,0,2,0,4,instinct,,,118,312,302,494,961,65,30,3,32,6,45,35,23
29,950,1.97071,0,2,0,4,instinct,,,114,340,272,494,905,32,22,5,28,1,63,20,41
29,955,2.0049,0,2,0,4,instinct,,,135,321,272,521,948,64,24,0,28,1,57,26,33
29,956,1.9951,0,2,0,4,instinct,,,121,317,305,559,1000,3,26,5,25,3,45,20,27
29,848,2.00055,0,2,0,4,instinct,,,122,282,291,476,941,71,36,9,35,0,48,30,28
29,919,1.99945,0,2,0,4,instinct,,,135,313,276,521,948,78,34,0,21,1,57,13,39
